Model	Mean win rate	MMLU - EM (Robustness)	BoolQ - EM (Robustness)	NarrativeQA - F1 (Robustness)	NaturalQuestions (closed-book) - F1 (Robustness)	NaturalQuestions (open-book) - F1 (Robustness)	QuAC - F1 (Robustness)	HellaSwag - EM (Robustness)	OpenbookQA - EM (Robustness)	TruthfulQA - EM (Robustness)	MS MARCO (regular) - RR@10 (Robustness)	MS MARCO (TREC) - NDCG@10 (Robustness)	IMDB - EM (Robustness)	CivilComments - EM (Robustness)	RAFT - EM (Robustness)
text-curie-001	0.337	0.22	0.549	0.34	0.121	0.415	0.169	0.625	0.424	0.235	0.198	0.444	0.881	0.129	0.399
GPT-NeoX (20B)	0.336	0.189	0.551	0.421	0.133	0.452	0.191	0.661	0.414	0.175	0.096	0.351	0.912	0.48	0.399
RedPajama-INCITE-Base (7B)	0.331	0.25	0.569	0.424	0.167	0.472	0.186	-	-	0.173	-	-	0.56	0.401	0.489
Luminous Base (13B)	0.319	0.183	0.655	0.476	0.163	0.491	0.185	-	-	0.112	-	-	0.887	0.416	0.402
Falcon-Instruct (7B)	0.303	0.25	0.593	0.258	0.132	0.327	0.179	-	-	0.17	-	-	0.759	0.487	0.445
J1-Large v1 (7.5B)	0.298	0.2	0.567	0.4	0.098	0.41	0.197	0.646	0.412	0.155	0.105	0.248	0.932	0.444	0.443
RedPajama-INCITE-Base-v1 (3B)	0.293	0.217	0.585	0.346	0.134	0.396	0.177	-	-	0.226	-	-	0.843	0.336	0.427
GPT-J (6B)	0.291	0.217	0.621	0.135	0.099	0.228	0.147	0.619	0.398	0.181	0.116	0.319	0.903	0.418	0.53
Pythia (12B)	0.272	0.22	0.51	0.42	0.108	0.47	0.171	-	-	0.138	-	-	0.854	0.418	0.45
Cohere medium v20221108 (6.1B)	0.27	0.207	0.54	0.296	0.105	0.222	0.152	0.687	0.414	0.17	0.13	0.314	0.888	0.353	0.502
UL2 (20B)	0.257	0.272	0.646	0.059	0.141	0.291	0.111	-	-	0.178	-	-	0.276	0.45	0.349
TNLG v2 (6.7B)	0.24	0.169	0.638	0.352	0.149	0.299	0.159	0.656	0.408	0.136	0.105	0.278	0.896	0.336	0.445
curie (6.7B)	0.231	0.19	0.545	0.367	0.126	0.338	0.171	0.632	0.396	0.186	0.11	0.253	0.803	0.347	0.413
T0pp (11B)	0.228	0.378	0	0.099	0.031	0.122	0.071	-	-	0.365	-	-	0.17	0.087	0.085
text-babbage-001	0.226	0.186	0.384	0.126	0.04	0.151	0.087	0.468	0.39	0.195	0.122	0.356	0.844	0.499	0.383
YaLM (100B)	0.205	0.243	0.566	0.088	0.047	0.125	0.08	-	-	0.202	-	-	0.719	0.463	0.211
Cohere medium v20220720 (6.1B)	0.188	0.184	0.562	0.3	0.102	0.266	0.144	0.651	0.382	0.149	0.109	0.315	0.889	0.136	0.385
Pythia (6.9B)	0.182	0.201	0.527	0.313	0.094	0.391	0.171	-	-	0.139	-	-	0.871	0.363	0.377
T5 (11B)	0.164	0.258	0.65	0.045	0.153	0.071	0.064	-	-	0.122	-	-	0.304	0.392	0.331
Cohere small v20220720 (410M)	0.147	0.226	0.361	0.078	0.025	0.074	0.098	0.405	0.238	0.204	-	0.252	0.473	0.434	0.403
babbage (1.3B)	0.117	0.166	0.477	0.255	0.068	0.212	0.149	0.489	0.314	0.162	0.073	0.246	0.5	0.4	0.409
text-ada-001	0.105	0.178	0.332	0.058	0.008	0.034	0.067	0.32	0.248	0.175	0.069	0.252	0.716	0.491	0.335
ada (350M)	0.102	0.204	0.461	0.104	0.031	0.043	0.092	0.37	0.27	0.167	0.072	0.247	0.701	0.421	0.345

