Model/adapter	Mean win rate	MMLU - EM	BoolQ - EM	NarrativeQA - F1	NaturalQuestions (closed-book) - F1	NaturalQuestions (open-book) - F1	QuAC - F1	HellaSwag - EM	OpenbookQA - EM	TruthfulQA - EM	MS MARCO (regular) - RR@10	MS MARCO (TREC) - NDCG@10	CNN/DailyMail - ROUGE-2	XSUM - ROUGE-2	IMDB - EM	CivilComments - EM	RAFT - EM
LLaMA (7B)	0.533	0.321	0.756	0.669	0.297	0.589	0.338	-	-	0.28	-	-	-	-	0.947	0.563	0.573
RedPajama-INCITE-Instruct (7B)	0.524	0.363	0.705	0.638	0.232	0.659	0.26	-	-	0.243	-	-	-	-	0.927	0.664	0.695
J1-Jumbo v1 (178B)	0.517	0.259	0.776	0.695	0.293	0.595	0.358	0.765	0.534	0.175	0.21	0.363	0.144	0.129	0.943	0.553	0.681
GLM (130B)	0.512	0.344	0.784	0.706	0.148	0.642	0.272	-	-	0.218	-	-	0.154	0.132	0.955	0.5	0.598
Luminous Extended (30B)	0.485	0.321	0.767	0.665	0.254	0.609	0.349	-	-	0.221	-	-	0.139	0.124	0.947	0.524	0.523
OPT (66B)	0.448	0.276	0.76	0.638	0.258	0.596	0.357	0.745	0.534	0.201	0.237	0.482	0.136	0.126	0.917	0.506	0.557
BLOOM (176B)	0.446	0.299	0.704	0.662	0.216	0.621	0.361	0.744	0.534	0.205	0.236	0.386	0.08	0.03	0.945	0.62	0.592
J1-Grande v1 (17B)	0.433	0.27	0.722	0.672	0.233	0.578	0.362	0.739	0.52	0.193	0.161	0.341	0.143	0.122	0.953	0.529	0.658
Alpaca (7B)	0.381	0.385	0.778	0.396	0.266	0.592	0.27	-	-	0.243	-	-	-	-	0.738	0.566	0.486
Falcon (7B)	0.378	0.286	0.753	0.621	0.285	0.579	0.332	-	-	0.234	-	-	-	-	0.836	0.514	0.602
RedPajama-INCITE-Base (7B)	0.378	0.302	0.713	0.617	0.25	0.586	0.336	-	-	0.205	-	-	-	-	0.752	0.547	0.648
Cohere large v20220720 (13.1B)	0.372	0.324	0.725	0.625	0.232	0.573	0.338	0.736	0.542	0.181	0.19	0.33	0.126	0.108	0.933	0.507	0.596
RedPajama-INCITE-Instruct-v1 (3B)	0.366	0.257	0.677	0.638	0.203	0.637	0.259	-	-	0.208	-	-	-	-	0.894	0.549	0.661
text-curie-001	0.36	0.237	0.62	0.582	0.175	0.571	0.358	0.676	0.514	0.257	0.271	0.507	0.152	0.076	0.923	0.537	0.489
GPT-NeoX (20B)	0.351	0.276	0.683	0.599	0.193	0.596	0.326	0.718	0.524	0.216	0.184	0.398	0.123	0.102	0.948	0.516	0.505
Luminous Base (13B)	0.315	0.27	0.719	0.605	0.202	0.568	0.334	-	-	0.182	-	-	0.11	0.105	0.939	0.544	0.473
Cohere medium v20221108 (6.1B)	0.312	0.254	0.7	0.61	0.199	0.517	0.314	0.726	0.538	0.215	0.175	0.373	0.121	0.099	0.935	0.5	0.591
RedPajama-INCITE-Base-v1 (3B)	0.311	0.263	0.685	0.555	0.207	0.52	0.309	-	-	0.277	-	-	-	-	0.907	0.549	0.502
TNLG v2 (6.7B)	0.309	0.242	0.698	0.631	0.21	0.561	0.345	0.704	0.478	0.167	0.158	0.332	0.146	0.11	0.927	0.532	0.525
J1-Large v1 (7.5B)	0.285	0.241	0.683	0.623	0.19	0.532	0.328	0.7	0.514	0.197	0.147	0.292	0.134	0.102	0.956	0.532	0.545
GPT-J (6B)	0.273	0.249	0.649	0.545	0.156	0.559	0.33	0.663	0.514	0.199	0.152	0.345	0.131	0.096	0.939	0.52	0.619
Pythia (12B)	0.257	0.274	0.662	0.596	0.175	0.581	0.313	-	-	0.177	-	-	-	-	0.931	0.531	0.514
curie (6.7B)	0.247	0.243	0.656	0.604	0.199	0.552	0.321	0.682	0.502	0.232	0.162	0.3	0.113	0.091	0.889	0.539	0.49
Falcon-Instruct (7B)	0.244	0.275	0.72	0.476	0.194	0.449	0.311	-	-	0.213	-	-	-	-	0.852	0.511	0.523
Cohere medium v20220720 (6.1B)	0.23	0.279	0.659	0.559	0.177	0.504	0.279	0.706	0.496	0.19	0.152	0.374	0.077	0.087	0.935	0.504	0.52
text-babbage-001	0.229	0.229	0.451	0.429	0.07	0.33	0.284	0.561	0.452	0.233	0.208	0.449	0.151	0.046	0.913	0.499	0.509
T0pp (11B)	0.197	0.407	0	0.151	0.039	0.19	0.121	-	-	0.377	-	-	0.122	0.09	0.207	0.234	0.118
Pythia (6.9B)	0.196	0.236	0.631	0.528	0.142	0.539	0.296	-	-	0.213	-	-	-	-	0.928	0.511	0.502
UL2 (20B)	0.167	0.291	0.746	0.083	0.204	0.349	0.144	-	-	0.193	-	-	0.03	0.058	0.337	0.521	0.404
T5 (11B)	0.131	0.29	0.761	0.086	0.194	0.477	0.116	-	-	0.133	-	-	0.043	0.015	0.379	0.509	0.37
babbage (1.3B)	0.114	0.235	0.574	0.491	0.119	0.451	0.273	0.555	0.438	0.188	0.122	0.317	0.079	0.045	0.597	0.519	0.455
Cohere small v20220720 (410M)	0.109	0.264	0.457	0.294	0.078	0.309	0.219	0.483	0.348	0.217	-	0.304	0.063	0.033	0.578	0.501	0.492
ada (350M)	0.108	0.243	0.581	0.326	0.082	0.365	0.242	0.435	0.38	0.215	0.102	0.29	0.09	0.022	0.849	0.517	0.423
text-ada-001	0.107	0.238	0.464	0.238	0.025	0.149	0.176	0.429	0.346	0.232	0.134	0.302	0.136	0.034	0.822	0.503	0.406
YaLM (100B)	0.075	0.243	0.634	0.252	0.068	0.227	0.162	-	-	0.202	-	-	0.017	0.021	0.836	0.49	0.395
