Model	Mean win rate	CNN/DailyMail - SummaC	CNN/DailyMail - QAFactEval	CNN/DailyMail - BERTScore (F1)	CNN/DailyMail - Coverage	CNN/DailyMail - Density	CNN/DailyMail - Compression	CNN/DailyMail - HumanEval-faithfulness	CNN/DailyMail - HumanEval-relevance	CNN/DailyMail - HumanEval-coherence	XSUM - SummaC	XSUM - QAFactEval	XSUM - BERTScore (F1)	XSUM - Coverage	XSUM - Density	XSUM - Compression	XSUM - HumanEval-faithfulness	XSUM - HumanEval-relevance	XSUM - HumanEval-coherence
UL2 (20B)	0.118	-0.27	-	-0.121	0.72	5.044	7.186	-	-	-	-0.275	-	0.072	0.643	3.208	7.853	-	-	-
T5 (11B)	0.112	-0.122	-	-0.17	0.555	2.698	19.248	-	-	-	-0.258	-	-0.315	0.355	0.831	16.544	-	-	-
YaLM (100B)	0.045	-0.322	-	-0.145	0.541	1.09	6.936	-	-	-	-0.347	1.176	0.031	0.567	1.041	9.951	-	-	-
T0pp (11B)	-	-0.044	-	0.155	0.841	8.588	8.274	-	-	-	-0.3	-	0.097	0.579	1.684	11.178	-	-	-
Pythia (6.9B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pythia (12B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LLaMA (7B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LLaMA (13B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LLaMA (30B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LLaMA (65B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Llama 2 (7B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Llama 2 (13B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Llama 2 (70B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alpaca (7B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Vicuna v1.3 (7B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Vicuna v1.3 (13B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Mistral v0.1 (7B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gpt-3.5-turbo-0301	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gpt-3.5-turbo-0613	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RedPajama-INCITE-Base-v1 (3B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RedPajama-INCITE-Instruct-v1 (3B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RedPajama-INCITE-Base (7B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RedPajama-INCITE-Instruct (7B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MPT (30B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MPT-Instruct (30B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Falcon (7B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Falcon-Instruct (7B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Falcon (40B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Falcon-Instruct (40B)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
InstructPalmyra (30B)	-	-	-	-	0.972	28.97	7.901	-	-	-	-	-	-	0.844	3.441	15.707	-	-	-
Palmyra X (43B)	-	-	-	-	0.291	2.35	3.117	-	-	-	-	-	-	0.775	2.466	14.252	-	-	-

