Model	Mean win rate	BoolQ - Toxic fraction	NarrativeQA - Toxic fraction	NaturalQuestions (closed-book) - Toxic fraction	NaturalQuestions (open-book) - Toxic fraction	QuAC - Toxic fraction	MS MARCO (regular) - Toxic fraction	MS MARCO (TREC) - Toxic fraction	CNN/DailyMail - Toxic fraction	XSUM - Toxic fraction	IMDB - Toxic fraction	CivilComments - Toxic fraction	RAFT - Toxic fraction
Cohere medium v20220720 (6.1B)	0.551	0	0.02	0	0.002	0.002	-	-	0.001	0	-	0	0
babbage (1.3B)	0.513	0	0.016	0.001	0	0.002	-	-	0	0	-	0	0
Pythia (6.9B)	0.512	-	0.014	0	0.001	0.003	-	-	-	-	-	-	-
Jurassic-2 Jumbo (178B)	0.506	-	0.017	0.001	0	0.001	-	-	0.001	0.003	-	-	-
J1-Grande v2 beta (17B)	0.506	0	0.014	0.001	0.001	0.003	-	-	0.004	0.001	-	0	0
Luminous Base (13B)	0.504	0	0.022	0.002	0.001	0.002	-	-	0.001	0.002	-	0	0
text-babbage-001	0.502	0	0.009	0	0	0	-	-	0	0.001	-	0	0.001
text-davinci-003	0.497	0.001	0.013	0	0	0.001	-	-	0	0.001	-	0	0
Cohere large v20220720 (13.1B)	0.485	0	0.017	0	0.002	0.003	-	-	0.001	0.001	-	0	0
Falcon (40B)	0.471	-	0.02	0	0	0.002	-	-	-	-	-	-	-
Palmyra X (43B)	0.463	-	0.011	0.001	-	0.001	-	-	0	0.002	-	-	-
Jurassic-2 Large (7.5B)	0.456	-	-	0.001	0.002	-	-	-	0	0.002	-	-	-
Falcon-Instruct (40B)	0.45	-	0.011	0.002	0	0.002	-	-	-	-	-	-	-
MPT (30B)	0.449	-	0.02	0.001	0	0.001	-	-	-	-	-	-	-
TNLG v2 (6.7B)	0.445	0	0.011	0	0.002	0.001	-	-	0	0.002	-	0	0
OPT (175B)	0.435	0	0.019	0.001	0.002	0.001	-	-	0.001	0.001	-	0	0
Mistral v0.1 (7B)	0.43	-	0.008	0.001	0.001	0.003	-	-	-	-	-	-	-
davinci (175B)	0.422	0	0.012	0	0.001	0	-	-	0.002	0.003	-	0	0
curie (6.7B)	0.418	0	0.017	0	0.002	0.003	-	-	0.001	0.001	-	0	0
Llama 2 (13B)	0.414	-	0.014	0.001	0	0.004	-	-	-	-	-	-	-
Cohere small v20220720 (410M)	0.412	0	0.027	0.001	0.003	0.003	-	-	0.001	0.001	-	0	0
text-davinci-002	0.409	0	0.013	0.001	0	0.002	-	-	0	0.002	-	0	0
text-curie-001	0.405	0	0.015	0	0.001	0.001	-	-	0	0.002	-	0	0
T0pp (11B)	0.397	0	0.023	0.001	0	0.001	-	-	0.001	0.001	-	0	0
Jurassic-2 Grande (17B)	0.388	-	0.02	0	0	0.003	-	-	0.003	0.001	-	-	-
Pythia (12B)	0.384	-	0.023	0.002	0	0.002	-	-	-	-	-	-	-
GPT-NeoX (20B)	0.365	0	0.022	0.001	0.002	0.001	-	-	0.001	0.002	-	0	0
OPT (66B)	0.335	0	0.022	0.001	0.002	0.001	-	-	0.001	0.003	-	0	0
GLM (130B)	0.335	0	0.012	0.001	0.002	0.001	-	-	0.001	0	-	0	0
TNLG v2 (530B)	0.33	0	0.012	0.001	0.001	0.003	-	-	0.003	0.003	-	0	0
ada (350M)	0.301	0	0.03	0.001	0.002	0.003	-	-	0.001	0	-	0	0
Falcon-Instruct (7B)	0.295	-	0.017	0.001	0.001	0.002	-	-	-	-	-	-	-
RedPajama-INCITE-Instruct (7B)	0.294	-	0.025	0	0.001	0.003	-	-	-	-	-	-	-
UL2 (20B)	0.29	0.001	0.017	0.001	0.001	0.006	-	-	0.009	0.001	-	0	0
MPT-Instruct (30B)	0.245	-	0.017	0.001	0.001	0.003	-	-	-	-	-	-	-
GPT-J (6B)	0.245	0	0.021	0.001	0.001	0.004	-	-	0.002	0.002	-	0	0
YaLM (100B)	0.242	0	0.017	0.008	0.003	0.001	-	-	0.001	0	-	0	0
RedPajama-INCITE-Base (7B)	0.2	-	0.014	0.002	0.001	0.005	-	-	-	-	-	-	-

