Model,Rank,Average,Average-0,Average-1,Average-2,Average-3,Average-4,Average-5,Average-6,Average-7,Average-8,Average-9,Average-10,Average-11,Average-12,Average-13,Average-14,Average-15,Average-16,Average-17,Average-18,Average-19,Average-20,Average-21,Average-22,Average-23,Average-24,Average-25,Average-26,Average-27,Average-28,Average-29,Average-30,Average-31,Average-32,Average-33,Average-34,Average-35,Average-36,Average-37,Average-38,Average-39,Average-40,Average-41,Average-42,Average-43,Average-44,Average-45,Average-46,Average-47,Average-48,Average-49,Average-50,Average-51,Average-52,Average-53,Average-54,Average-55,Classification Average-0,Classification Average-1,Classification Average-2,Classification Average-3,Classification Average-4,Classification Average-5,Classification Average-6,Classification Average-7,Classification Average-8,Classification Average-9,Classification Average-10,Classification Average-11,Clustering Average-0,Clustering Average-1,Clustering Average-2,Clustering Average-3,Clustering Average-4,Clustering Average-5,Clustering Average-6,Clustering Average-7,Clustering Average-8,Clustering Average-9,Clustering Average-10,Pair Classification Average-0,Pair Classification Average-1,Pair Classification Average-2,Reranking Average-0,Reranking Average-1,Reranking Average-2,Reranking Average-3,Retrieval Average-0,Retrieval Average-1,Retrieval Average-2,Retrieval Average-3,Retrieval Average-4,Retrieval Average-5,Retrieval Average-6,Retrieval Average-7,Retrieval Average-8,Retrieval Average-9,Retrieval Average-10,Retrieval Average-11,Retrieval Average-12,Retrieval Average-13,Retrieval Average-14,STS Average-0,STS Average-1,STS Average-2,STS Average-3,STS Average-4,STS Average-5,STS Average-6,STS Average-7,STS Average-8,STS Average-9,Summarization Average-0
bge-base-en-v1.5,11.0,63.549464285714315,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,75.53,75.53,75.53,75.53,75.53,75.53,75.53,75.53,75.53,75.53,75.53,75.53,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,86.55,86.55,86.55,58.86,58.86,58.86,58.86,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,31.07
ember-v1,12.0,63.542767857142834,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,45.58,45.58,45.58,45.58,45.58,45.58,45.58,45.58,45.58,45.58,45.58,87.37,87.37,87.37,60.04,60.04,60.04,60.04,51.92,51.92,51.92,51.92,51.92,51.92,51.92,51.92,51.92,51.92,51.92,51.92,51.92,51.92,51.92,83.34,83.34,83.34,83.34,83.34,83.34,83.34,83.34,83.34,83.34,30.82
sf_model_e5,13.0,63.34258928571433,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,46.61,86.85,86.85,86.85,59.86,59.86,59.86,59.86,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,31.61
gte-large,14.0,63.12910714285726,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,63.13,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,46.84,46.84,46.84,46.84,46.84,46.84,46.84,46.84,46.84,46.84,46.84,85.0,85.0,85.0,59.13,59.13,59.13,59.13,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,52.22,83.35,83.35,83.35,83.35,83.35,83.35,83.35,83.35,83.35,83.35,31.66
stella-base-en-v2,15.0,62.608125000000065,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,75.28,75.28,75.28,75.28,75.28,75.28,75.28,75.28,75.28,75.28,75.28,75.28,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,86.45,86.45,86.45,58.78,58.78,58.78,58.78,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,83.02,83.02,83.02,83.02,83.02,83.02,83.02,83.02,83.02,83.02,32.52
gte-base,16.0,62.38910714285718,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,62.39,73.01,73.01,73.01,73.01,73.01,73.01,73.01,73.01,73.01,73.01,73.01,73.01,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,84.57,84.57,84.57,58.61,58.61,58.61,58.61,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.14,51.14,82.3,82.3,82.3,82.3,82.3,82.3,82.3,82.3,82.3,82.3,31.17
text-embedding-3-small,17.0,62.262053571428574,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,73.21,73.21,73.21,73.21,73.21,73.21,73.21,73.21,73.21,73.21,73.21,73.21,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,85.04,85.04,85.04,56.72,56.72,56.72,56.72,51.08,51.08,51.08,51.08,51.08,51.08,51.08,51.08,51.08,51.08,51.08,51.08,51.08,51.08,51.08,81.58,81.58,81.58,81.58,81.58,81.58,81.58,81.58,81.58,81.58,31.12
e5-large-v2,18.0,62.24901785714286,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,44.49,86.03,86.03,86.03,56.61,56.61,56.61,56.61,50.56,50.56,50.56,50.56,50.56,50.56,50.56,50.56,50.56,50.56,50.56,50.56,50.56,50.56,50.56,82.05,82.05,82.05,82.05,82.05,82.05,82.05,82.05,82.05,82.05,30.19
bge-small-en-v1.5,19.0,62.166428571428604,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,62.17,74.14,74.14,74.14,74.14,74.14,74.14,74.14,74.14,74.14,74.14,74.14,74.14,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,84.92,84.92,84.92,58.36,58.36,58.36,58.36,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,81.59,81.59,81.59,81.59,81.59,81.59,81.59,81.59,81.59,81.59,30.12
Cohere-embed-english-light-v3.0,20.0,62.012678571428694,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,74.31,74.31,74.31,74.31,74.31,74.31,74.31,74.31,74.31,74.31,74.31,74.31,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,85.05,85.05,85.05,56.09,56.09,56.09,56.09,51.34,51.34,51.34,51.34,51.34,51.34,51.34,51.34,51.34,51.34,51.34,51.34,51.34,51.34,51.34,80.92,80.92,80.92,80.92,80.92,80.92,80.92,80.92,80.92,80.92,31.29
text-embedding-3-large-256,21.0,62.00008928571422,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,46.23,46.23,46.23,46.23,46.23,46.23,46.23,46.23,46.23,46.23,46.23,84.22,84.22,84.22,57.99,57.99,57.99,57.99,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,51.66,81.04,81.04,81.04,81.04,81.04,81.04,81.04,81.04,81.04,81.04,29.92
instructor-xl,22.0,61.79160714285716,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,73.12,73.12,73.12,73.12,73.12,73.12,73.12,73.12,73.12,73.12,73.12,73.12,44.74,44.74,44.74,44.74,44.74,44.74,44.74,44.74,44.74,44.74,44.74,86.62,86.62,86.62,57.29,57.29,57.29,57.29,49.26,49.26,49.26,49.26,49.26,49.26,49.26,49.26,49.26,49.26,49.26,49.26,49.26,49.26,49.26,83.06,83.06,83.06,83.06,83.06,83.06,83.06,83.06,83.06,83.06,32.32
instructor-large,23.0,61.59169642857138,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,73.86,73.86,73.86,73.86,73.86,73.86,73.86,73.86,73.86,73.86,73.86,73.86,45.29,45.29,45.29,45.29,45.29,45.29,45.29,45.29,45.29,45.29,45.29,85.89,85.89,85.89,57.54,57.54,57.54,57.54,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,83.15,83.15,83.15,83.15,83.15,83.15,83.15,83.15,83.15,83.15,31.84
e5-base-v2,24.0,61.49857142857145,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,73.84,73.84,73.84,73.84,73.84,73.84,73.84,73.84,73.84,73.84,73.84,73.84,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,85.73,85.73,85.73,55.91,55.91,55.91,55.91,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,81.05,81.05,81.05,81.05,81.05,81.05,81.05,81.05,81.05,81.05,30.28
multilingual-e5-large,25.0,61.49830357142868,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,74.81,74.81,74.81,74.81,74.81,74.81,74.81,74.81,74.81,74.81,74.81,74.81,41.06,41.06,41.06,41.06,41.06,41.06,41.06,41.06,41.06,41.06,41.06,84.75,84.75,84.75,55.86,55.86,55.86,55.86,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,81.56,81.56,81.56,81.56,81.56,81.56,81.56,81.56,81.56,81.56,29.69
e5-large,26.0,61.42133928571429,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,61.42,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,73.14,43.33,43.33,43.33,43.33,43.33,43.33,43.33,43.33,43.33,43.33,43.33,85.94,85.94,85.94,56.53,56.53,56.53,56.53,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,82.06,82.06,82.06,82.06,82.06,82.06,82.06,82.06,82.06,82.06,30.97
