Model,Rank,Average,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K
argilla/notux-8x7b-v1-epoch-2,54.5,73.04666666666667,70.65,87.8,71.43,65.97,82.08,60.35
argilla/notux-8x7b-v1-epoch-2,54.5,73.04666666666667,70.65,87.8,71.43,65.97,82.08,60.35
shadowml/Marcoro14-7B-ties,56.0,73.01333333333334,69.8,87.13,65.11,63.54,81.61,70.89
argilla/notux-8x7b-v1,57.0,72.97,70.65,87.72,71.39,66.21,80.74,61.11
AA051611/whattest,58.0,72.96666666666667,66.81,84.43,76.59,58.04,82.48,69.45
bardsai/jaskier-7b-dpo,59.0,72.91166666666666,70.82,87.02,64.67,64.41,80.19,70.36
VAGOsolutions/SauerkrautLM-Mixtral-8x7B-Instruct,60.0,72.88833333333334,70.48,87.75,71.37,65.71,81.22,60.8
samir-fama/FernandoGPT-v1,61.0,72.86833333333333,69.45,86.94,65.19,61.18,81.14,73.31
PSanni/MPOMixtral-8x7B-Instruct-v0.1,62.0,72.80166666666666,70.99,87.95,70.26,66.52,82.56,58.53
cookinai/OpenCM-14,63.0,72.745,69.28,86.89,65.01,61.07,81.29,72.93
VAGOsolutions/SauerkrautLM-Mixtral-8x7B-Instruct,64.0,72.72833333333334,70.56,87.74,71.08,65.72,81.45,59.82
mistralai/Mixtral-8x7B-Instruct-v0.1,65.0,72.70666666666666,70.14,87.55,71.4,64.98,81.06,61.11
senseable/garten2-7b,66.0,72.65166666666667,69.37,87.54,65.44,59.5,84.69,69.37
mistralai/Mixtral-8x7B-Instruct-v0.1,67.0,72.615,70.22,87.63,71.16,64.58,81.37,60.73
bardsai/jaskier-7b-dpo-v2,68.5,72.53,69.28,86.8,64.92,61.64,80.74,71.8
AIDC-ai-business/Marcoroni-7B-v3,68.5,72.52999999999999,69.45,86.78,65.0,60.4,81.45,72.1
Toten5/Marcoroni-v3-neural-chat-v3-3-Slerp,70.0,72.51166666666667,68.77,86.55,64.51,62.7,80.74,71.8
jondurbin/bagel-dpo-8x7b-v0.2,71.0,72.48666666666666,72.1,86.41,70.27,72.83,83.27,50.04
Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K,72.0,72.44333333333333,69.28,87.59,70.96,64.83,82.56,59.44
SanjiWatsuki/Kunoichi-DPO-v2-7B,73.0,72.39833333333333,69.37,87.42,64.83,66.0,80.74,66.03
janhq/supermario-v2,74.5,72.34,68.52,86.51,64.88,60.58,81.37,72.18
mindy-labs/mindy-7b,74.5,72.33999999999999,69.11,86.57,64.69,60.89,81.06,71.72
OpenBuddy/openbuddy-deepseek-67b-v15.2,76.0,72.33166666666666,68.6,86.37,71.5,56.2,84.45,66.87
shadowml/Beyonder-4x7B-v2,77.0,72.32833333333333,68.77,86.8,65.1,60.68,80.9,71.72
janhq/supermario-slerp,78.0,72.325,68.94,86.58,64.93,60.11,81.29,72.1
mncai/yi-34B-v3,79.0,72.25500000000001,67.06,85.11,75.8,57.54,83.5,64.52
Sao10K/Fimbulvetr-10.7B-v1,80.0,72.24666666666666,68.94,87.27,66.59,60.54,83.5,66.64
SanjiWatsuki/Kunoichi-DPO-7B,81.0,72.23833333333333,69.62,87.14,64.79,67.31,80.58,63.99
rwitz2/grindin,82.0,72.17999999999999,69.88,87.02,64.98,59.34,80.9,70.96
SanjiWatsuki/Kunoichi-7B,83.0,72.135,68.69,87.1,64.9,64.04,81.06,67.02
mncai/yi-34B-v2,84.0,72.12333333333333,66.13,85.0,75.64,57.34,83.66,64.97
CausalLM/72B-preview,85.0,72.12,65.19,83.23,77.14,52.58,82.48,72.1
mindy-labs/mindy-7b-v2,86.0,72.10666666666667,68.69,86.59,65.18,60.16,81.06,70.96
CausalLM/72B-preview,87.0,72.05833333333332,64.85,83.28,77.21,52.51,82.48,72.02
rwitz/dec10,88.0,72.04833333333333,69.11,86.46,64.98,60.42,80.74,70.58
rwitz/dec10,89.0,72.00833333333334,69.2,86.48,64.91,60.52,80.43,70.51
cookinai/Valkyrie-V1,90.0,71.92,67.24,86.27,64.82,60.4,81.45,71.34
AA051611/A0110,91.0,71.88833333333334,66.38,84.73,74.48,58.6,82.32,64.82
DopeorNope/COKAL-v1-70B,92.0,71.86833333333333,87.46,83.29,68.13,72.79,80.27,39.27
bn22/Nous-Hermes-2-SOLAR-10.7B-MISALIGNED,93.0,71.83166666666666,68.26,86.11,66.26,57.79,83.43,69.14
AA051611/A0109,94.0,71.82833333333333,66.55,84.7,74.44,58.75,82.16,64.37
deepseek-ai/deepseek-llm-67b-chat,95.0,71.78833333333334,67.75,86.82,72.42,55.85,84.21,63.68
OpenBuddy/openbuddy-deepseek-67b-v15.1,96.0,71.76333333333334,67.66,86.49,70.3,54.42,84.77,66.94
migtissera/Tess-M-Creative-v1.0,97.0,71.72833333333334,66.81,85.14,75.54,57.68,83.11,62.09
VitalContribution/Evangelion-7B,98.0,71.71,68.94,86.45,63.97,64.01,79.95,66.94
bhenrym14/platypus-yi-34b,99.0,71.68833333333333,68.43,85.21,78.13,54.48,84.06,59.82
RatanRohith/NeuralPizza-7B-V0.1,100.0,71.535,70.48,87.3,64.42,67.22,80.35,59.44
