Model,Rank,Rank-Before,Average,Average-Before,ARC (× 0.0216),HellaSwag (× 0.0440),MMLU (× 0.0117),TruthfulQA (× 0.0106),Winogrande (× 0.0368),GSM8K (× 1.0000)
AIDC-ai-business/Marcoroni-7B-v3,12.0,68.5,13.635298674057035,72.52999999999999,1.4968830139973726,3.8165445831423264,0.7605839217029806,0.6418585319330306,2.9959219935665136,72.1
janhq/supermario-slerp,13.0,78.0,13.630369644994952,72.325,1.485890784520934,3.8077486749073817,0.7597648313257621,0.6387767608360011,2.9900368183796426,72.1
CausalLM/72B-preview,14.0,85.0,13.61011419409391,72.12,1.4050655677824149,3.6604172119720655,0.9026375956948911,0.5587569802820984,3.0338078088319955,72.1
CausalLM/72B-preview,15.0,87.0,13.59593853387218,72.05833333333332,1.3977374147981223,3.662616189030801,0.9034566860721096,0.5580131045000568,3.0338078088319955,72.02
bardsai/jaskier-7b-dpo-v2,16.0,68.5,13.582522203105434,72.53,1.4932189375052263,3.8174241739658203,0.7596478184147308,0.655035760072053,2.969806528674773,71.8
samir-fama/SamirGPT-v1,17.5,50.5,13.581511044518825,73.11,1.498822819199097,3.827979263847754,0.7640943090339174,0.6734201186853667,3.0047497563468197,71.72
samir-fama/SamirGPT-v1,17.5,50.5,13.581511044518825,73.11,1.498822819199097,3.827979263847754,0.7640943090339174,0.6734201186853667,3.0047497563468197,71.72
Toten5/Marcoroni-v3-neural-chat-v3-3-Slerp,19.0,70.0,13.579935496534949,72.51166666666667,1.4822267080287876,3.80642928867214,0.7548502890624506,0.66630016477154,2.969806528674773,71.8
mindy-labs/mindy-7b,20.0,74.5,13.567077133904261,72.33999999999999,1.4895548610130802,3.8073088794956345,0.7569565214610126,0.6470656624073217,2.9815768790485153,71.72
shadowml/Beyonder-4x7B-v2,21.0,77.0,13.566988445288457,72.32833333333333,1.4822267080287876,3.8174241739658203,0.7617540508132928,0.644834035061197,2.9756917038616444,71.72
cloudyu/Mixtral_7Bx6_MoE_35B,22.0,40.0,13.53101917897046,73.32000000000001,1.51175485387726,3.8161047877305787,0.7575415860161686,0.6991369671502332,2.9815768790485153,71.42
cloudyu/Mixtral_7Bx6_MoE_35B,23.0,41.0,13.506561540922098,73.31333333333332,1.5080907773851138,3.8183037647893148,0.7595308055036996,0.6989244312125069,2.984519466641951,71.27
argilla/distilabeled-Marcoro14-7B-slerp,24.0,29.0,13.505903229184362,73.63166666666666,1.5244713546441204,3.846890466552884,0.7631582057456676,0.6918044772986802,3.019094870864818,71.19
cookinai/Valkyrie-V1,25.0,90.0,13.496603875257776,71.92,1.449250019599472,3.794115017143218,0.7584776893044184,0.6418585319330306,2.9959219935665136,71.34
TomGrc/FusionNet_7Bx2_MoE_14B,26.0,7.0,13.481931742566116,75.91499999999998,1.5852519176314865,3.9071424379622526,0.7568395085499814,0.7396250632870682,3.2427315279659155,70.66
macadeliccc/SOLAR-math-2x10.7b,27.0,38.0,13.473624034269015,73.37333333333335,1.4748985550444955,3.7958741987902074,0.782816374798914,0.6823466280698657,3.065808448910606,71.04
shadowml/Marcoro14-7B-ties,28.0,56.0,13.444211505013365,73.01333333333334,1.5044267008929675,3.8319374225534784,0.7618710637243241,0.6752266741560391,3.0018071687533845,70.89
rwitz2/grindin,29.0,82.0,13.443314395363958,72.17999999999999,1.5061509721833892,3.827099673024259,0.7603498958809182,0.6305941272335436,2.9756917038616444,70.96
mindy-labs/mindy-7b-v2,30.0,86.0,13.438711006814643,72.10666666666667,1.480502436738366,3.8081884703191293,0.7626901541015427,0.6393081006803165,2.9815768790485153,70.96
mlabonne/NeuralMarcoro14-7B,31.0,31.0,13.429204653832834,73.575,1.539343194524008,3.8521680114938506,0.758711715126481,0.6975429476172869,2.9874620542353862,70.74
argilla/distilabeled-Marcoro14-7B-slerp-full,32.0,35.0,13.416016695384803,73.39999999999999,1.5227470833536987,3.8504088298468617,0.7644453477670111,0.6823466280698657,3.0161522832713823,70.66
abideen/NexoNimbus-7B,33.0,32.0,13.381970510802939,73.50166666666667,1.5264111598458447,3.8640424876110253,0.7569565214610126,0.6634309296122367,3.1209819662875216,70.36
rwitz/dec10,34.0,88.0,13.374042247234323,72.04833333333333,1.4895548610130802,3.802471129966415,0.7603498958809182,0.6420710678707567,2.969806528674773,70.58
Qwen/Qwen-72B,35.0,30.0,13.365571823734248,73.60000000000001,1.4050655677824149,3.77960176855556,0.9053288926486094,0.6396269045869057,3.0338078088319955,70.43
rwitz/dec10,36.0,89.0,13.36098565696967,72.00833333333334,1.4914946662148048,3.80335072078991,0.7595308055036996,0.6431337475593876,2.958404001750211,70.51
bardsai/jaskier-7b-dpo,37.0,59.0,13.350713592487681,72.91166666666666,1.5264111598458447,3.827099673024259,0.7567224956389501,0.6844719874471275,2.9495762389699043,70.36
moreh/MoMo-70B-LoRA-V1.4,38.0,11.0,13.346877743357647,74.66499999999999,1.4914946662148048,3.741339567733552,0.9024035698728288,0.6658750928960876,3.0801535634286044,70.2
NousResearch/Nous-Hermes-2-Yi-34B,39.0,28.0,13.306940262385034,73.74166666666666,1.4417063327038768,3.7598109750269355,0.8974890276095171,0.6415397280264413,3.051095510943429,70.05
senseable/garten2-7b,40.0,66.0,13.204708578794405,72.65166666666667,1.4951587427069508,3.849969034435115,0.7657324897883546,0.632294414735353,3.1150967911006506,69.37
AA051611/whattest,41.0,58.0,13.191660618082784,72.96666666666667,1.439982061413455,3.713192661381731,0.8962018855881736,0.6167792912813426,3.0338078088319955,69.45
bn22/Nous-Hermes-2-SOLAR-10.7B-MISALIGNED,42.0,93.0,13.142752324360723,71.83166666666666,1.4712344785523492,3.7870782905552627,0.7753275484929154,0.6141225920597655,3.0687510365040422,69.14
cloudyu/Mixtral_7Bx2_MoE,43.0,34.0,13.05065691642401,73.43166666666666,1.5356791180318616,3.8460108757293896,0.7603498958809182,0.7144395546665173,2.9874620542353862,68.46
SanjiWatsuki/Lelantos-DPO-7B,44.5,52.5,13.040110390361155,73.09333333333333,1.5320150415397153,3.8358955812592037,0.7488826305998578,0.7201780249851238,2.9436910637830334,68.46
SanjiWatsuki/Lelantos-DPO-7B,44.5,52.5,13.040110390361155,73.09333333333333,1.5320150415397153,3.8358955812592037,0.7488826305998578,0.7201780249851238,2.9436910637830334,68.46
macadeliccc/Orca-SOLAR-4x10.7b,46.5,48.5,13.013268782614782,73.16666666666667,1.4768383602462198,3.8165445831423264,0.7843375426423198,0.6858534710423476,3.0860387386154757,68.23
macadeliccc/Orca-SOLAR-4x10.7b,46.5,48.5,13.013268782614782,73.16666666666667,1.4768383602462198,3.8165445831423264,0.7843375426423198,0.6858534710423476,3.0860387386154757,68.23
udkai/Turdus,48.0,12.0,12.972017609862553,74.655,1.5815878411393405,3.8948281664333306,0.7549673019734816,0.7131643390401603,3.187558010589,67.7
Sao10K/SOLAR-10.7B-NahIdWin,49.0,44.0,12.897624853128283,73.215,1.3904092618138302,3.7677272924383853,0.7508718500873888,0.8153941250864476,2.9613465893436466,67.7
SanjiWatsuki/Kunoichi-7B,50.0,83.0,12.792108536216162,72.135,1.480502436738366,3.8306180363182367,0.7594137925926684,0.6805400725991934,2.9815768790485153,67.02
OpenBuddy/openbuddy-deepseek-67b-v15.1,51.0,96.0,12.786840564978727,71.76333333333334,1.458302443874186,3.8037905162016568,0.8226007645495313,0.5783102865529061,3.1180393786940863,66.94
OpenBuddy/openbuddy-deepseek-67b-v15.2,52.0,76.0,12.78120215500025,72.33166666666666,1.4785626315366414,3.7985129712606907,0.8366423138732787,0.597225985010535,3.1062690283203445,66.87
fblgit/UNA-TheBeagle-7b-v1,53.0,26.0,12.778596081953944,73.875,1.5742596881550481,3.8701996233754863,0.7427979592262339,0.7422817625086454,3.0220374584582532,66.72
VitalContribution/Evangelion-7B,54.0,98.0,12.766237242637429,71.71,1.485890784520934,3.8020313345546684,0.7485315918667641,0.6802212686926041,2.940748476189598,66.94
Sao10K/Fimbulvetr-10.7B-v1,55.0,80.0,12.742974400256871,72.24666666666666,1.485890784520934,3.8380945583179393,0.7791889745569459,0.6433462834971138,3.0713258006482977,66.64
SanjiWatsuki/Kunoichi-DPO-v2-7B,56.0,73.0,12.633270009597945,72.39833333333333,1.4951587427069508,3.844691489494148,0.7585947022154497,0.7013685944963579,2.969806528674773,66.03
kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP,57.0,14.0,12.549693154682439,74.34833333333334,1.530075236337991,3.879875122433925,0.7748594968487904,0.7645980359698932,3.0687510365040422,65.28
yhyu13/LMCocktail-10.7B-v1,58.0,24.0,12.49400606046079,74.05666666666667,1.5227470833536987,3.8759169637282,0.7747424839377591,0.7548213828344894,3.065808448910606,64.97
rishiraj/meow,59.0,25.0,12.480974246355473,73.93833333333333,1.5190830068615526,3.873717986669464,0.7752105355818841,0.7490829125158828,3.0687510365040422,64.9
bhavinjawade/SOLAR-10B-OrcaDPO-Jawade,60.0,16.0,12.474545601508256,74.26666666666667,1.533739312830137,3.882074099492661,0.7736893677384782,0.7605598531530959,3.0772109758351687,64.82
upstage/SOLAR-10.7B-Instruct-v1.0,61.0,18.0,12.461222394211944,74.20166666666667,1.5320150415397153,3.8772363499634417,0.7747424839377591,0.7590721015890128,3.0742683882417334,64.75
fblgit/UNA-POLAR-10.7B-InstructMath-v2,62.0,23.0,12.45657646489868,74.065,1.5244713546441204,3.8789955316104305,0.7726362515391971,0.7622601406549053,3.051095510943429,64.75
mncai/yi-34B-v2,63.0,84.0,12.450870653938749,72.12333333333333,1.4253257554448702,3.738260999851322,0.885085659040207,0.6093405334609268,3.0772109758351687,64.97
kodonho/SolarM-SakuraSolar-SLERP,64.0,15.0,12.448812597476957,74.29166666666667,1.533739312830137,3.8908700077276053,0.7750935226708527,0.7661920555028394,3.0569806861303,64.67
fblgit/UNA-SOLAR-10.7B-Instruct-v1.0,65.0,19.0,12.44750270442116,74.2,1.5208072781519741,3.8781159407869366,0.7732213160943532,0.765660715658524,3.0772109758351687,64.67
bhavinjawade/SOLAR-10B-Nector-DPO-Jawade,66.0,20.0,12.437022216125989,74.185,1.5374033893222834,3.897466938903814,0.7748594968487904,0.7536524351769955,3.0687510365040422,64.59
AA051611/A0110,67.0,91.0,12.41654428658416,71.88833333333334,1.4307141032274382,3.7263865237341474,0.8715121613605846,0.6227302975376754,3.027922633645124,64.82
dhanushreddy29/BrokenKeyboard,68.0,21.0,12.38363942489795,74.07833333333333,1.5356791180318616,3.885152667374892,0.7727532644502284,0.7583282258069712,3.059923273723735,64.29
mncai/yi-34B-v3,69.0,79.0,12.379703119613291,72.25500000000001,1.445370409196023,3.7430987493805414,0.8869578656167065,0.6114658928381884,3.0713258006482977,64.52
VAGOsolutions/SauerkrautLM-SOLAR-Instruct,70.0,17.0,12.36247786696772,74.20666666666666,1.5264111598458447,3.8979067343155607,0.774625471026728,0.7645980359698932,3.0713258006482977,64.14
AA051611/A0109,71.0,94.0,12.341141867077305,71.82833333333333,1.4343781797195845,3.7250671374989057,0.8710441097164596,0.6243243170706216,3.0220374584582532,64.37
SanjiWatsuki/Kunoichi-DPO-7B,72.0,81.0,12.2933770018219,72.23833333333333,1.5005470904895188,3.832377217965226,0.7581266505713249,0.715289698417422,2.963921353487902,63.99
deepseek-ai/deepseek-llm-67b-chat,73.0,95.0,12.24948356453229,71.78833333333334,1.4602422490759106,3.8183037647893148,0.8474075016881516,0.5935066061003271,3.097441265540038,63.68
fblgit/UNA-SOLAR-10.7B-Instruct-v1.0,74.0,22.0,12.233110588702937,74.06666666666666,1.5244713546441204,3.884273076551397,0.7734553419164156,0.7706553101950889,3.065808448910606,63.38
CultriX/MistralTrix-v1,75.0,37.0,12.117672719289883,73.38666666666667,1.5576635769847387,3.8847128719631443,0.7633922315677301,0.7516333437685969,2.97863429145508,62.77
Neuronovo/neuronovo-7B-v0.2,76.0,33.0,12.06874182267031,73.44333333333334,1.5742596881550481,3.884273076551397,0.7623391153684491,0.7547151148656263,2.9668639410813378,62.47
ryandt/MusingCaterpillar,77.0,39.0,12.028778171278416,73.32666666666667,1.5632674586786095,3.885152667374892,0.7636262573897926,0.7537587031458586,2.9668639410813378,62.24
migtissera/Tess-M-Creative-v1.0,78.0,97.0,11.971375009581953,71.72833333333334,1.439982061413455,3.744418135615783,0.8839155299298947,0.6129536444022715,3.0569806861303,62.09
fblgit/UNAversal-8x7B-v1beta,79.0,27.0,11.928477594150678,73.78333333333332,1.5044267008929675,3.821822128083293,0.8236538807488124,0.7648105719076194,3.0161522832713823,61.64
argilla/notus-8x7b-experiment,80.0,45.0,11.927332935647613,73.18166666666667,1.530075236337991,3.8583251472583115,0.8346530943857478,0.6991369671502332,3.0018071687533845,61.64
Neuronovo/neuronovo-7B-v0.3,81.0,42.0,11.892372258627452,73.28666666666665,1.5669315351707558,3.8816343040809143,0.7617540508132928,0.7582219578381081,2.9756917038616444,61.41
argilla/notux-8x7b-v1,82.0,57.0,11.833232392928243,72.97,1.5227470833536987,3.8578853518465643,0.8353551718519352,0.7036002218424826,2.969806528674773,61.11
mistralai/Mixtral-8x7B-Instruct-v0.1,83.0,65.0,11.829957001534654,72.70666666666666,1.51175485387726,3.8504088298468617,0.8354721847629665,0.6905292616723233,2.9815768790485153,61.11
jondurbin/bagel-dpo-34b-v0.2,84.0,9.5,11.827648625436517,74.68666666666665,1.5503354240004465,3.7492558851450024,0.8960848726771423,0.7444071218859071,3.065808448910606,60.96
VAGOsolutions/SauerkrautLM-Mixtral-8x7B-Instruct,85.0,60.0,11.783192961434658,72.88833333333334,1.5190830068615526,3.859204738081806,0.8351211460298728,0.6982868233993283,2.9874620542353862,60.8
CultriX/MistralTrixTest,86.5,46.5,11.781542487647796,73.17,1.5632674586786095,3.8877914398453752,0.7631582057456676,0.7520584156440492,2.992979405973078,60.73
CultriX/MistralTrixTest,86.5,46.5,11.781542487647796,73.17,1.5632674586786095,3.8877914398453752,0.7631582057456676,0.7520584156440492,2.992979405973078,60.73
mistralai/Mixtral-8x7B-Instruct-v0.1,88.0,67.0,11.768221357016268,72.615,1.5134791251676818,3.8539271931408394,0.8326638748982169,0.6862785429177999,2.992979405973078,60.73
argilla/notux-8x7b-v1-epoch-2,89.5,54.5,11.715019780574147,73.04666666666667,1.5227470833536987,3.861403715140542,0.8358232234960602,0.7010497905897686,3.019094870864818,60.35
argilla/notux-8x7b-v1-epoch-2,89.5,54.5,11.715019780574147,73.04666666666667,1.5227470833536987,3.861403715140542,0.8358232234960602,0.7010497905897686,3.019094870864818,60.35
one-man-army/UNA-34Beagles-32K-bf16-v1,91.0,8.0,11.69027900292341,75.41333333333334,1.5852519176314865,3.7791619731438133,0.8945637048337365,0.7816009109879867,3.051095510943429,60.05
jondurbin/bagel-dpo-34b-v0.2,92.0,13.0,11.661095804296922,74.49833333333333,1.5520596952908683,3.7488160897332548,0.8960848726771423,0.745576069543401,3.0540380985368643,59.97
VAGOsolutions/SauerkrautLM-Mixtral-8x7B-Instruct,93.0,64.0,11.620935846227786,72.72833333333334,1.5208072781519741,3.8587649426700588,0.831727771609967,0.6983930913681915,2.9959219935665136,59.82
bhenrym14/platypus-yi-34b,94.0,99.0,11.604581490099655,71.68833333333333,1.4748985550444955,3.747496703498013,0.9142218738869826,0.5789478943660845,3.0919239138023467,59.82
Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K,95.0,72.0,11.55689936737358,72.44333333333333,1.4932189375052263,3.8521680114938506,0.8303236166775922,0.688935242139377,3.0367503964254308,59.44
RatanRohith/NeuralPizza-7B-V0.1,96.0,100.0,11.537014804188722,71.535,1.5190830068615526,3.8394139445531814,0.7537971728631694,0.7143332866976542,2.955461414156775,59.44
PSanni/MPOMixtral-8x7B-Instruct-v0.1,97.0,62.0,11.415642253477136,72.80166666666666,1.530075236337991,3.8680006463167502,0.8221327129054065,0.7068945288772382,3.0367503964254308,58.53
jondurbin/nontoxic-bagel-34b-v0.2,98.0,9.5,11.413034525889378,74.68666666666667,1.561327653476885,3.7664079062031437,0.8940956531896115,0.7725681336346245,3.0338078088319955,58.45
jondurbin/bagel-dpo-8x7b-v0.2,99.0,71.0,10.008889476293954,72.48666666666666,1.5539995004925926,3.800272152907679,0.8222497258164376,0.7739496172298446,3.062865861317171,50.04
DopeorNope/COKAL-v1-70B,100.0,92.0,8.223561317911601,71.86833333333333,1.8850595882535666,3.6630559844425488,0.7972089628557548,0.7735245453543923,2.9525188265633395,39.27
