Model/adapter	Mean win rate ↑ [ sort ]	MS-COCO (base) - Expected aesthetics score ↑ [ sort ]	MS-COCO (base) - Max aesthetics score ↑ [ sort ]	MS-COCO (base) - Fractal dimension loss ↓ [ sort ]	Caltech-UCSD Birds-200-2011 - Expected aesthetics score ↑ [ sort ]	Caltech-UCSD Birds-200-2011 - Max aesthetics score ↑ [ sort ]	Caltech-UCSD Birds-200-2011 - Fractal dimension loss ↓ [ sort ]	DrawBench (image quality categories) - Expected aesthetics score ↑ [ sort ]	DrawBench (image quality categories) - Max aesthetics score ↑ [ sort ]	DrawBench (image quality categories) - Fractal dimension loss ↓ [ sort ]	PartiPrompts (image quality categories) - Expected aesthetics score ↑ [ sort ]	PartiPrompts (image quality categories) - Max aesthetics score ↑ [ sort ]	PartiPrompts (image quality categories) - Fractal dimension loss ↓ [ sort ]	dailydall.e - Expected aesthetics score ↑ [ sort ]	dailydall.e - Max aesthetics score ↑ [ sort ]	dailydall.e - Fractal dimension loss ↓ [ sort ]	Landing Page - Expected aesthetics score ↑ [ sort ]	Landing Page - Max aesthetics score ↑ [ sort ]	Landing Page - Fractal dimension loss ↓ [ sort ]	Logos - Expected aesthetics score ↑ [ sort ]	Logos - Max aesthetics score ↑ [ sort ]	Logos - Fractal dimension loss ↓ [ sort ]	Magazine Cover Photos - Expected aesthetics score ↑ [ sort ]	Magazine Cover Photos - Max aesthetics score ↑ [ sort ]	Magazine Cover Photos - Fractal dimension loss ↓ [ sort ]	Common Syntactic Processes - Expected aesthetics score ↑ [ sort ]	Common Syntactic Processes - Max aesthetics score ↑ [ sort ]	Common Syntactic Processes - Fractal dimension loss ↓ [ sort ]	DrawBench (reasoning categories) - Expected aesthetics score ↑ [ sort ]	DrawBench (reasoning categories) - Max aesthetics score ↑ [ sort ]	DrawBench (reasoning categories) - Fractal dimension loss ↓ [ sort ]	PartiPrompts (reasoning categories) - Expected aesthetics score ↑ [ sort ]	PartiPrompts (reasoning categories) - Max aesthetics score ↑ [ sort ]	PartiPrompts (reasoning categories) - Fractal dimension loss ↓ [ sort ]	Relational Understanding - Expected aesthetics score ↑ [ sort ]	Relational Understanding - Max aesthetics score ↑ [ sort ]	Relational Understanding - Fractal dimension loss ↓ [ sort ]	Detection (PaintSkills) - Expected aesthetics score ↑ [ sort ]	Detection (PaintSkills) - Max aesthetics score ↑ [ sort ]	Detection (PaintSkills) - Fractal dimension loss ↓ [ sort ]	Winoground - Expected aesthetics score ↑ [ sort ]	Winoground - Max aesthetics score ↑ [ sort ]	Winoground - Fractal dimension loss ↓ [ sort ]	PartiPrompts (knowledge categories) - Expected aesthetics score ↑ [ sort ]	PartiPrompts (knowledge categories) - Max aesthetics score ↑ [ sort ]	PartiPrompts (knowledge categories) - Fractal dimension loss ↓ [ sort ]	DrawBench (knowledge categories) - Expected aesthetics score ↑ [ sort ]	DrawBench (knowledge categories) - Max aesthetics score ↑ [ sort ]	DrawBench (knowledge categories) - Fractal dimension loss ↓ [ sort ]	TIME's most significant historical figures - Expected aesthetics score ↑ [ sort ]	TIME's most significant historical figures - Max aesthetics score ↑ [ sort ]	TIME's most significant historical figures - Fractal dimension loss ↓ [ sort ]	Demographic Stereotypes - Expected aesthetics score ↑ [ sort ]	Demographic Stereotypes - Max aesthetics score ↑ [ sort ]	Demographic Stereotypes - Fractal dimension loss ↓ [ sort ]	Mental Disorders - Expected aesthetics score ↑ [ sort ]	Mental Disorders - Max aesthetics score ↑ [ sort ]	Mental Disorders - Fractal dimension loss ↓ [ sort ]	Inappropriate Image Prompts (I2P) - Expected aesthetics score ↑ [ sort ]	Inappropriate Image Prompts (I2P) - Max aesthetics score ↑ [ sort ]	Inappropriate Image Prompts (I2P) - Fractal dimension loss ↓ [ sort ]
Stable Diffusion v2.1 base (1B)	0.589	6.178	6.647	0.213	6.389	6.389	0.098	5.688	6.329	0.224	6.166	6.675	0.214	6.316	6.843	0.209	4.262	5.068	0.151	4.363	5.399	0.249	4.211	5.194	0.269	6.143	6.742	0.174	5.997	6.551	0.214	5.275	5.991	0.24	5.94	6.515	0.171	6.158	6.749	0.203	5.886	6.49	0.195	6.289	6.749	0.282	6.034	6.602	0.229	5.919	6.341	0.226	5.749	6.527	0.142	5.163	5.92	0.11	5.775	6.703	0.23
Lexica Search with Stable Diffusion v1.5 (1B)	0.485	5.975	6.848	0.213	5.726	5.726	0.192	5.703	6.587	0.242	6.022	6.771	0.256	6.304	6.999	0.225	3.885	4.735	0.28	4.133	5.31	0.326	5.919	6.711	0.26	6.324	7.099	0.234	5.859	6.59	0.242	5.15	5.988	0.281	5.558	6.344	0.216	5.825	6.602	0.22	5.773	6.579	0.22	6.132	6.905	0.284	5.992	6.731	0.281	6.122	6.832	0.263	5.663	6.777	0.17	5.435	6.585	0.135	5.814	6.815	0.235
DALL-E 2 (3.5B)	0.481	5.847	6.32	0.163	5.806	5.806	0.13	4.981	5.528	0.18	5.806	6.29	0.178	6.169	6.64	0.15	3.806	4.476	0.205	2.988	3.748	0.137	4.275	5.196	0.154	5.887	6.394	0.136	5.69	6.176	0.147	4.897	5.486	0.23	5.16	5.793	0.154	5.574	6.107	0.157	5.435	5.915	0.171	5.788	6.291	0.175	5.886	6.352	0.173	5.775	6.376	0.147	5.543	6.377	0.113	4.806	6.132	0.098	5.651	6.493	0.177
Safe Stable Diffusion weak (1B)	0.471	6.149	6.661	0.215	6.259	6.259	0.107	5.635	6.219	0.219	6.121	6.619	0.218	6.286	6.815	0.222	4.197	4.971	0.136	3.494	4.577	0.264	3.559	4.515	0.25	6.14	6.879	0.19	5.927	6.455	0.216	5.138	5.819	0.291	5.747	6.27	0.171	6.133	6.639	0.207	5.785	6.397	0.212	6.156	6.698	0.266	5.838	6.357	0.231	5.929	6.373	0.228	5.709	6.596	0.132	5.415	6.055	0.115	5.513	6.403	0.226
GigaGAN (1B)	0.437	5.705	6.279	0.195	5.62	5.62	0.102	5.502	6.064	0.217	5.824	6.37	0.221	5.907	6.465	0.175	4.15	4.872	0.18	3.952	4.842	0.228	3.988	4.936	0.201	5.62	6.2	0.165	5.576	6.191	0.206	4.961	5.622	0.295	5.198	5.753	0.179	5.576	6.169	0.158	5.247	5.91	0.184	6.041	6.595	0.236	5.612	6.268	0.197	6.175	6.699	0.163	5.588	6.337	0.151	5.178	6.319	0.204	5.531	6.366	0.194
Stable Diffusion v2 base (1B)	0.421	6.045	6.541	0.213	6.281	6.281	0.105	5.317	6.079	0.221	6.007	6.527	0.211	6.337	6.878	0.21	3.922	4.842	0.157	3.404	4.425	0.267	3.449	4.236	0.279	5.764	6.466	0.168	5.766	6.402	0.197	4.963	5.673	0.264	5.753	6.334	0.161	5.881	6.493	0.201	5.311	6.118	0.198	6.114	6.568	0.277	5.882	6.456	0.218	5.787	6.309	0.216	5.503	6.401	0.122	5.072	5.913	0.092	5.313	6.289	0.236
DeepFloyd IF Large (0.9B)	0.411	5.432	5.884	0.15	5.556	5.556	0.076	4.675	5.418	0.177	5.492	5.979	0.174	5.775	6.278	0.171	3.536	4.415	0.125	3.066	4.202	0.444	3.858	4.835	0.153	5.494	6.059	0.124	5.234	5.717	0.162	4.631	5.285	0.213	4.943	5.559	0.137	5.286	5.767	0.164	4.839	5.405	0.135	5.702	6.176	0.207	5.544	6.19	0.179	5.622	6.108	0.216	5.264	5.991	0.103	5.208	5.794	0.083	5.242	6.1	0.189
Stable Diffusion v1.5 (1B)	0.369	6.102	6.624	0.232	6.237	6.237	0.12	5.549	6.216	0.232	6.049	6.587	0.233	6.248	6.769	0.231	4.152	4.845	0.168	3.467	4.621	0.252	3.575	4.434	0.28	6.029	6.798	0.205	5.885	6.449	0.236	5.152	5.803	0.294	5.728	6.283	0.177	6.061	6.596	0.228	5.699	6.318	0.232	6.133	6.684	0.278	5.817	6.375	0.243	5.837	6.3	0.241	5.607	6.457	0.145	5.32	5.952	0.137	5.481	6.356	0.241
Stable Diffusion v1.4 (1B)	0.368	6.086	6.634	0.228	6.215	6.215	0.107	5.533	6.149	0.238	6.058	6.589	0.232	6.275	6.783	0.234	4.033	4.808	0.168	3.357	4.482	0.276	3.566	4.42	0.285	5.966	6.72	0.203	5.913	6.465	0.234	5.115	5.803	0.289	5.762	6.315	0.177	5.979	6.497	0.224	5.71	6.364	0.224	6.162	6.65	0.28	5.85	6.384	0.243	5.881	6.361	0.25	5.593	6.479	0.139	5.302	6.026	0.133	5.419	6.303	0.241
DeepFloyd IF X-Large (4.3B)	0.359	5.42	5.855	0.152	5.31	5.31	0.099	4.717	5.283	0.193	5.462	5.953	0.182	5.746	6.173	0.163	3.57	4.249	0.167	2.559	3.638	0.331	3.82	4.625	0.171	5.429	6.027	0.131	5.153	5.697	0.164	4.559	5.14	0.236	4.874	5.459	0.146	5.151	5.68	0.164	4.827	5.474	0.145	5.676	6.142	0.209	5.508	6.038	0.188	5.518	5.959	0.226	5.275	6.036	0.107	5.224	6.189	0.09	5.181	6.037	0.195
MultiFusion (13B)	0.335	5.907	6.535	0.238	5.628	5.628	0.113	5.455	6.178	0.249	5.899	6.626	0.247	5.86	6.692	0.263	3.903	4.703	0.22	2.923	3.979	0.217	2.983	3.939	0.34	5.805	6.501	0.22	5.552	6.35	0.22	4.656	5.593	0.282	5.591	6.512	0.18	6.01	6.735	0.25	5.341	6.127	0.224	6.08	6.77	0.292	5.95	6.746	0.25	6.855	7.524	0.292	5.44	6.551	0.183	5.044	5.953	0.147	5.853	6.931	0.277
DALL-E mega (2.6B)	0.33	5.368	5.911	0.201	5.87	5.87	0.107	5.25	5.853	0.226	5.506	6.032	0.226	5.801	6.359	0.199	4.655	5.187	0.2	4.863	5.423	0.276	4.711	5.334	0.241	5.19	5.741	0.159	5.467	5.99	0.229	4.881	5.409	0.288	5.298	5.842	0.249	5.392	5.987	0.214	5.222	5.761	0.221	5.649	6.109	0.233	5.494	6.028	0.216	5.484	5.916	0.283	5.301	6.025	0.177	4.957	5.641	0.123	5.017	5.834	0.2
DeepFloyd IF Medium (0.4B)	0.3	5.208	5.64	0.156	5.497	5.497	0.104	4.653	5.39	0.196	5.352	5.846	0.183	5.578	6.043	0.184	3.597	4.424	0.169	2.461	3.491	0.478	3.336	4.163	0.186	5.133	5.822	0.133	5.053	5.621	0.171	4.406	5.039	0.258	4.867	5.463	0.137	5.191	5.693	0.167	4.696	5.31	0.153	5.551	6.046	0.216	5.308	5.817	0.187	5.519	6.085	0.236	5.106	5.942	0.098	4.819	5.875	0.079	4.854	5.737	0.192
DALL-E mini (0.4B)	0.299	5.137	5.746	0.195	6.201	6.201	0.083	5.526	6.078	0.261	5.238	5.809	0.216	5.324	5.945	0.196	4.369	5.002	0.334	4.725	5.273	0.418	4.536	5.119	0.198	5.365	5.959	0.219	5.142	5.712	0.21	4.507	5.122	0.274	5.056	5.664	0.206	5.153	5.798	0.185	4.93	5.543	0.196	5.433	5.985	0.242	5.107	5.666	0.224	5.505	5.981	0.267	4.95	5.715	0.185	4.994	5.695	0.12	4.75	5.643	0.197
minDALL-E (1.3B)	0.121	4.749	5.549	0.246	5.104	5.104	0.195	4.727	5.559	0.246	4.795	5.644	0.256	4.876	5.746	0.22	3.044	3.91	0.283	3.358	4.276	0.344	3.536	4.419	0.193	4.51	5.352	0.203	4.636	5.539	0.246	4.143	5.01	0.306	4.438	5.31	0.308	4.81	5.625	0.21	4.353	5.332	0.221	4.983	5.755	0.274	4.587	5.519	0.215	4.557	5.561	0.237	5.047	6.307	0.167	4.892	6.439	0.155	4.348	5.625	0.229
CogView2 (6B)	0.113	4.723	5.467	0.184	4.707	4.707	0.213	3.984	4.924	0.223	4.28	5.246	0.248	4.166	5.135	0.249	3.333	4.129	0.508	2.727	3.71	0.347	3.801	4.725	0.164	4.658	5.613	0.261	4.377	5.342	0.238	3.741	4.659	0.326	4.001	4.998	0.297	4.541	5.455	0.152	4.185	5.207	0.208	4.397	5.342	0.221	4.411	5.29	0.24	4.244	5.295	0.239	4.835	6.089	0.186	4.563	5.901	0.166	4.249	5.537	0.216
